N_obs,SNR,L,rep,oracle_l2_to_rkhs_mean_cos2
15,1.0,2,27,0.5849240484688663
15,1.0,3,27,0.9789135372625625
15,1.0,1,28,0.6463338442231628
15,1.0,2,28,0.61645266684782
15,1.0,3,28,0.990942594460737
15,1.0,1,29,0.46998600124058565
15,1.0,2,29,0.798059866011196
15,1.0,3,29,0.668526028980208
15,1.0,1,30,0.820283404820112
15,1.0,2,30,0.9713459070035686
15,1.0,3,30,0.7486465104257537
15,1.0,1,31,0.801871704165695
15,1.0,2,31,0.6495173700691765
15,1.0,3,31,0.7747030469683761
15,1.0,1,32,0.9094698280089385
15,1.0,2,32,0.9388746781026228
15,1.0,3,32,0.670878170518585
15,1.0,1,33,0.9272459881749627
15,1.0,2,33,0.8869559001375622
15,1.0,3,33,0.9747439091540958
15,1.0,1,34,0.908279283203579
15,1.0,2,34,0.8185455440233237
15,1.0,3,34,0.9455358887827271
15,1.0,1,35,0.9458693986644258
15,1.0,2,35,0.8568509871003503
15,1.0,3,35,0.9321961908796625
15,1.0,1,36,0.9703163739978414
15,1.0,2,36,0.8119773469234224
15,1.0,3,36,0.9706949603343528
15,1.0,1,37,0.8547015459202555
15,1.0,2,37,0.9356863475666151
15,1.0,3,37,0.9783217204400619
15,1.0,1,38,0.009471519596110634
15,1.0,2,38,0.5550512117340952
15,1.0,3,38,0.984803106185976
15,1.0,1,39,0.7767771779588429
15,1.0,2,39,0.9585275871876314
15,1.0,3,39,0.9887414497689608
15,1.0,1,40,0.8390470799382173
15,1.0,2,40,0.777353837770421
15,1.0,3,40,0.6767558823811993
15,1.0,1,41,0.6963251846942775
15,1.0,2,41,0.5340548681661238
15,1.0,3,41,0.9242842780242975
15,1.0,1,42,0.9451709404252348
15,1.0,2,42,0.791332869729533
15,1.0,3,42,0.9477749982334246
