N_obs,SNR,L,target,method,metric,mean,ci_low,ci_high
50,0.5,1,OracleRKHS,RKHS,function_mean_cos2,0.49499160061538466,0.4569589489543703,0.533024252276399
50,0.5,1,OracleL2,L2,function_mean_cos2,0.6966587340575282,0.6599691926178399,0.7333482754972165
50,0.5,1,OracleL2,RKHS,function_mean_cos2,0.8019896262288481,0.7684504227877348,0.8355288296699613
50,0.5,2,OracleRKHS,L2,function_mean_cos2,0.5802243639523159,0.5633174185407602,0.5971313093638716
50,0.5,2,OracleRKHS,RKHS,function_mean_cos2,0.671360571763577,0.6528393177854367,0.6898818257417173
50,0.5,2,OracleL2,L2,function_mean_cos2,0.8979600535798017,0.8870928849963894,0.908827222163214
50,0.5,2,OracleL2,RKHS,function_mean_cos2,0.919331566969625,0.9067837260883187,0.9318794078509314
50,0.5,3,OracleRKHS,L2,function_mean_cos2,0.7291641753194721,0.7192869223102678,0.7390414283286764
50,0.5,3,OracleRKHS,RKHS,function_mean_cos2,0.7818640195144829,0.7680235692355663,0.7957044697933996
50,0.5,3,OracleL2,L2,function_mean_cos2,0.9002670431653871,0.8890345663807442,0.91149951995003
50,0.5,3,OracleL2,RKHS,function_mean_cos2,0.9109463185602502,0.897923446980003,0.9239691901404974
50,1.0,1,OracleRKHS,L2,function_mean_cos2,0.5299665068418953,0.4896048126379373,0.5703282010458532
50,1.0,1,OracleRKHS,RKHS,function_mean_cos2,0.9031279925399923,0.8856068961772395,0.9206490889027451
50,1.0,1,OracleL2,L2,function_mean_cos2,0.9048585121125293,0.8789170700504294,0.9307999541746292
50,1.0,1,OracleL2,RKHS,function_mean_cos2,0.753481839848082,0.7161620717638161,0.790801607932348
50,1.0,2,OracleRKHS,L2,function_mean_cos2,0.719150861334849,0.6982369974101414,0.7400647252595565
50,1.0,2,OracleRKHS,RKHS,function_mean_cos2,0.917992444380504,0.9084308606106984,0.9275540281503095
50,1.0,2,OracleL2,L2,function_mean_cos2,0.9767850796470063,0.9696696337720168,0.9839005255219959
50,1.0,2,OracleL2,RKHS,function_mean_cos2,0.8385346501469583,0.8183573724025379,0.8587119278913786
50,1.0,3,OracleRKHS,L2,function_mean_cos2,0.8154125815233797,0.801034658887771,0.8297905041589884
50,1.0,3,OracleRKHS,RKHS,function_mean_cos2,0.9083471456086248,0.8987006437235762,0.9179936474936735
50,1.0,3,OracleL2,L2,function_mean_cos2,0.9757340069819824,0.9702774169291633,0.9811905970348016
50,1.0,3,OracleL2,RKHS,function_mean_cos2,0.891753820679643,0.8780060052567641,0.905501636102522
50,2.0,1,OracleRKHS,L2,function_mean_cos2,0.6237446315035458,0.5843501251911625,0.663139137815929
50,2.0,1,OracleRKHS,RKHS,function_mean_cos2,0.92233648340373,0.9105306967540068,0.9341422700534532
50,2.0,1,OracleL2,L2,function_mean_cos2,0.9872290049521415,0.9842422482345897,0.9902157616696933
50,2.0,1,OracleL2,RKHS,function_mean_cos2,0.6908700678584307,0.6513017487205108,0.7304383869963507
50,2.0,2,OracleRKHS,L2,function_mean_cos2,0.7550254713919826,0.7353616990807069,0.7746892437032583
50,2.0,2,OracleRKHS,RKHS,function_mean_cos2,0.8550758888552535,0.8399107016977295,0.8702410760127776
50,2.0,2,OracleL2,L2,function_mean_cos2,0.99083887682703,0.9857132276406063,0.9959645260134536
50,2.0,2,OracleL2,RKHS,function_mean_cos2,0.7999078780812949,0.7780131144472862,0.8218026417153037
50,2.0,3,OracleRKHS,L2,function_mean_cos2,0.819240024334812,0.8057705527077867,0.8327094959618373
50,2.0,3,OracleRKHS,RKHS,function_mean_cos2,0.7594136312350652,0.745280698479281,0.7735465639908494
50,2.0,3,OracleL2,L2,function_mean_cos2,0.9930757626991183,0.9914837653381828,0.9946677600600539
50,2.0,3,OracleL2,RKHS,function_mean_cos2,0.8564476466373233,0.841749184757798,0.8711461085168486
